Type-Code,JCODE as Number,J-Code,GCODE as Number,G-Code,Name,Definition
pl_fi_trp_,,,,,plastic crab/lobster/octopus traps & pots and their tops,"Stationary traps or pots used to catch crustaceans such as lobsters, crabs and octopus. Though the size and shape of the traps may vary, most feature a net covering and a cone-shaped entrance tunnel through which a crab or lobster is enticed with bait. Pots typically having a volume of 4 litres. Octopus seeking refuge in the pots can be trapped."
pl_nn_frg_fopy_larg_,83,J83,83,G83,fragments of foamed polystyrene > 50cm,Fragments of foamed polystyrene that are bigger than 50 cm in the longest dimension and originate from unidentifiable polystyrene items.
pl_nn_cds_,84,J84,84,G84,plastic CDs & DVDs,Small plastic discs (and their keep cases) on which sound and data can be stored (CDs & DVDs).
pl_hu_,,,,,plastic hunting related items,Plastic hunting related items.
pl_fi_bag_hdsa_salt_,85,J85,85,G85,plastic commercial salt packaging,Heavy-duty sacks and other containers used for packaging and shipping salt.
pl_hy_,,,,,plastic personal hygiene and care related items,Plastic personal hygiene and care related items.
pl_hy_b&c_,,,,,plastic personal hygiene and care related bottles & containers,Plastic body care and cosmetics bottles & containers.
pl_re_div_,86,J86,86,G86,plastic fin trees (from fins for scuba diving),The plastic supports placed inside diving flippers or fins to keep them in shape.
pl_nn_tap_,87,J87,87,G87,plastic masking/duct/packing tape,"Different sorts of plastic adhesive tape: used in painting, to cover areas on which paint is not wanted (masking tape); strong cloth-backed waterproof adhesive tape (duct tape); box-sealing tape, parcel tape or packing tape used for closing or sealing corrugated fibreboard boxes."
pl_nn_tel_,88,J88,88,G88,telephone,Mobile phone devices and any other type of telephones.
pl_co_oco_,89,J89,89,G89,plastic construction waste,"Plastic waste materials generated during the construction, renovation, and demolition of buildings or structures. These may include drainage pipes, waste pipes, plastic tubes for cables, construction foam, etc. Not foamed insulation materials."
pl_ag_pot_,90,J90,90,G90,plastic flower pots,A plastic container in which plants are grown.
pl_hy_ohy_,236,J236,,,other plastic personal hygiene and care items,Other identifiable personal hygiene and care items that do not fit in any other category of this list. Can be made of other materials than artificial polymers.
pl_hy_stt_,,,,,"plastic sanitary towels/panty liners/backing strips, tampons and tampon applicators","Absorbent pads worn by women to absorb menstrual blood. Sanitary towels/panty liners/backing strips, tampons and tampon applicators."
pl_nn_bio_,91,J91,91,G91,plastic biomass holder from sewage treatment plants and aquaculture,Plastic Filter Media or Biofiltration Media are small (1-4 cm diameter ca. 1 cm high) usually round plastic items that look a bit like a cake. https://www.bing.com/images/search?q=Plastic+Filter+Media+or+Biofiltration+Media&FORM=HDRSC2
