,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
165,G70,Plastic,Shotgun cartridges,Hunting,Where does it come from,,Parent code,True,False,False,
166,G71,Plastic,Shoes sandals,Clothing,Where does it come from,,Parent code,True,False,False,
167,G72,Plastic,Traffic cones,Utility items,Where does it come from,,Parent code,True,False,False,
168,G73,Plastic,Foamed items & pieces (not packaging or insulation related) made of foamed sponge-like material,Undefined,Utility,Recreation,Parent code,True,False,False,45
169,G74,Plastic,Foamed plastic  for thermal insulation or packing material,Undefined,Construction,Industrial,Parent code,False,False,False,45
170,G75,Plastic,Plastic/polystyrene pcs 0 - 2.5 cm,Undefined,Where does it come from,none,Parent code,True,False,False,117
171,G76,Plastic,Plastic/foamed polystyrene 2.5 > < 50,Undefined,Where does it come from,Indirect,Parent code,True,False,False,46
172,G77,Plastic,Plastic or polystyrene  > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
173,G78,Plastic,Plastic pieces 0.5cm - 2.5cm,Undefined,Where does it come from,none,Parent code,True,False,False,117
174,G79,Plastic,Plastic pieces 2.5cm - 50cm,Undefined,None,None,Parent code,True,False,False,46
175,G8,Plastic,Drink bottles  > 0.5L,Packaging,Food and drink,none,Parent code,True,True,False,4
176,G80,Plastic,Plastic pieces > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
177,G81,Plastic,Foamed polystyrene pieces 0.5cm - 2.5cm,Packaging,Construction,None,Parent code,False,False,False,117
178,G82,Plastic,Foam polystyrene; expanded beads/balls  2.5cm - 50cm,Undefined,Packaging,Construction,Parent code,False,False,False,46
179,G83,Plastic,Polystyrene pieces > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
180,G84,Plastic,CD or CD box,Packaging,Where does it come from,,Parent code,True,False,False,
181,G85,Plastic,Salt packaging,Packaging,Where does it come from,,Parent code,True,False,False,
182,G86,Plastic,Fin trees,Recreation,Where does it come from,,Parent code,True,False,False,
183,G87,Plastic,"Tape, masking/duct/packing",Utility items,Where does it come from,none,Parent code,False,False,False,48
184,G88,Plastic,Telephone incl. parts,Utility items,Where does it come from,none,Parent code,True,False,False,48
185,G89,Plastic,Plastic construction waste,Construction,Where does it come from,,Parent code,True,False,False,
186,G9,Plastic,"Cleaner, chemical bottles & containers",Packaging,Construction,Industry,Parent code,True,True,False,5
187,G90,Plastic,Plastic flower pots,Agriculture,Where does it come from,,Parent code,True,False,False,
188,G901,Plastic,"Mask medical, synthetic",Personal hygiene,Where does it come from,none,G124,True,True,False,48
189,G903,Plastic,Hand sanitizer containers & packets,Personal hygiene,Where does it come from,none,G12,True,True,False,7
190,G904,Plastic,"Fireworks; rocket caps, exploded parts & packaging",Recreation,Where does it come from,none,G124,False,True,False,48
191,G905,Plastic,"Hair clip,  hair ties, personal accessories plastic",Personal hygiene,Where does it come from,Where does it come from,G124,True,False,False,48
192,G907,Plastic,coffee capsules plastic,Undefined,Where does it come from,none,G124,False,True,False,48
193,G908,Plastic,"Tape; electrical, insulating",Construction,none,none,G124,False,False,False,48
