slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_name_slug,is_2020
sempachersee_sempach_tampec,sempachersee_sempach_tampec,47.128618100000004,8.1918737,Sempach,6204,CH,l,Sempachsee,sempach,sempachsee,False
sense_torishaus_g-cubes,Sense_Törishaus_g cubes,46.8831206,7.353188900000001,Köniz,3174,CH,r,Sense,koniz,sense,False
sentiero-giro-del-golf-spiaggia,Sentiero Giro del Golf spiaggia,46.14577,8.79043,Ascona,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True
signalpain,Signalpain,46.7862,6.647360000000001,Yverdon-les-Bains,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True
sihlsee_einsiedeln_schilligerllacherl,sihlsee_einsiedeln_schilligerllacherl,47.141393799999996,8.7603588,Einsiedeln,8840,CH,l,Sihlsee,einsiedeln,sihlsee,False
sihl_adliswil_oggi_fort,Sihl_Adliswil_Oggi_Fort,47.3124217,8.5262549,Adliswil,8134,CH,r,Sihl,adliswil,sihl,False
sihl_horgen_bucherf,Sihl_Horgen_BucherF,47.2726946,8.5536821,Horgen,8810,CH,r,Sihl,horgen,sihl,False
sihl_leimbach_kruegerm,sihl_leimbach_kruegerm,47.325436100000005,8.5191195,Zurich,8041,CH,r,Sihl,zurich,sihl,False
sihl_menzingen_kucharska_magdalena,Sihl_Menzingen_Kucharska_Magdalena,47.191501200000005,8.6184214,Menzingen,6313,CH,r,Sihl,menzingen,sihl,False
sihl_zuerich_eggerskoehlingera,sihl_zuerich_eggerskoehlingera,47.3818981,8.5383279,Zurich,8005,CH,r,Sihl,zurich,sihl,False
sihl_zuerich_eichenbergerd,Sihl_zuerich_eichenbergerD,47.339588299999996,8.5166965,Zurich,8041,CH,r,Sihl,zurich,sihl,True
sihl_zuerich_scherfs,Sihl_Zuerich_ScherfS,47.3731495,8.5323698,Zurich,8001,CH,r,Sihl,zurich,sihl,False
sihl_zurich_himmelhebern,sihl_zurich_himmelhebern,47.3430554,8.518612199999998,Zurich,8041,CH,r,Sihl,zurich,sihl,False
sitter_gaiserwald_buehlerf,sitter_gaiserwald_buehlerf,47.4251609,9.3401037,St Gallen,9000,CH,r,Sitter,st-gallen,sitter,False
sitter_stgallen_jennya,Sitter_St.Gallen_JennyA,47.4102424,9.320376,St Gallen,9014,CH,r,Sitter,st-gallen,sitter,False
sitter_stgallen_steinbrunnerf,sitter_stgallen_steinbrunnerf,47.4332917,9.3580747,St Gallen,9000,CH,r,Sitter,st-gallen,sitter,False
sorne_birse_wwfjura,sorne_birse_WWFJura,47.3709868,7.3609099,Delémont,2800,CH,r,Birs,delemont,birs,False
spackmatt,Späckmatt,47.223749,7.576711,Luterbach,4542,CH,r,Aare,luterbach,aare,True
strandbeiz,Strandbeiz,47.215861700000005,8.843098399999999,Jona city,8645,CH,l,Zurichsee,jona-city,zurichsee,True
strandboden-biel,Strandboden-Biel,47.132509999999996,7.233142,Biel,2503,CH,l,Bielersee,biel,bielersee,True
sundbach-strand,Sundbach strand,46.684385999999996,7.7947679999999995,Beatenberg,3803,CH,l,Thunersee,beatenberg,thunersee,True
thun-strandbad,Thun Strandbad,46.739939,7.63352,Thun,3504,CH,l,Thunersee,thun,thunersee,True
thunersee_spiez_meierd_1,thunersee_spiez_meierd_1,46.704436799999996,7.657882400000001,Spiez,3646,CH,l,Thunersee,spiez,thunersee,True
thur_schoenenberg_schaera,Thur_Schoenenberg_SchaerA,47.524072600000004,9.1983347,Kradolf Schönenberg,9214,CH,r,Thur,kradolf-schonenberg,thur,False
thur_schwarzenbach_meiliw,thur_schwarzenbach_meiliw,47.4467866,9.0638156,Wil,9500,CH,r,Thur,wil,thur,False
